dayOfYear|count
1/1|4437
1/2|2178
1/3|2335
1/4|2463
1/5|2476
1/6|2365
1/7|2454
1/8|2345
1/9|2286
1/10|2348
1/11|2345
1/12|2545
1/13|2360
1/14|2357
1/15|2453
1/16|2423
1/17|2380
1/18|2446
1/19|2384
1/20|2469
1/21|2406
1/22|2305
1/23|2447
1/24|2418
1/25|2476
1/26|2454
1/27|2464
1/28|2387
1/29|2420
1/30|2357
1/31|2372
2/1|2581
2/2|2536
2/3|2481
2/4|2548
2/5|2507
2/6|2514
2/7|2380
2/8|2444
2/9|2470
2/10|2551
2/11|2517
2/12|2606
2/13|2487
2/14|2409
2/15|2600
2/16|2527
2/17|2477
2/18|2483
2/19|2483
2/20|2489
2/21|2442
2/22|2564
2/23|2553
2/24|2479
2/25|2514
2/26|2573
2/27|2428
2/28|2585
2/29|602
3/1|2565
3/2|2597
3/3|2615
3/4|2603
3/5|2624
3/6|2580
3/7|2518
3/8|2512
3/9|2496
3/10|2608
3/11|2566
3/12|2472
3/13|2506
3/14|2578
3/15|2627
3/16|2596
3/17|2691
3/18|2607
3/19|2591
3/20|2707
3/21|2650
3/22|2595
3/23|2624
3/24|2593
3/25|2600
3/26|2610
3/27|2598
3/28|2609
3/29|2587
3/30|2533
3/31|2488
4/1|2533
4/2|2645
4/3|2502
4/4|2628
4/5|2504
4/6|2572
4/7|2589
4/8|2523
4/9|2542
4/10|2590
4/11|2505
4/12|2560
4/13|2436
4/14|2589
4/15|2497
4/16|2514
4/17|2507
4/18|2524
4/19|2543
4/20|2567
4/21|2536
4/22|2570
4/23|2513
4/24|2573
4/25|2490
4/26|2515
4/27|2621
4/28|2557
4/29|2460
4/30|2489
5/1|2560
5/2|2558
5/3|2508
5/4|2638
5/5|2702
5/6|2593
5/7|2430
5/8|2483
5/9|2476
5/10|2552
5/11|2436
5/12|2530
5/13|2462
5/14|2600
5/15|2748
5/16|2481
5/17|2588
5/18|2598
5/19|2484
5/20|2586
5/21|2502
5/22|2570
5/23|2562
5/24|2706
5/25|2628
5/26|2489
5/27|2538
5/28|2600
5/29|2594
5/30|2420
5/31|2468
6/1|2709
6/2|2635
6/3|2623
6/4|2615
6/5|2568
6/6|2629
6/7|2654
6/8|2507
6/9|2531
6/10|2653
6/11|2516
6/12|2575
6/13|2446
6/14|2593
6/15|3068
6/16|2600
6/17|2533
6/18|2606
6/19|2568
6/20|2583
6/21|2534
6/22|2583
6/23|2558
6/24|2602
6/25|2600
6/26|2623
6/27|2595
6/28|2599
6/29|2691
6/30|2701
7/1|2769
7/2|2604
7/3|2571
7/4|2284
7/5|2497
7/6|2638
7/7|2799
7/8|2627
7/9|2616
7/10|2729
7/11|2597
7/12|2772
7/13|2594
7/14|2717
7/15|2764
7/16|2623
7/17|2675
7/18|2646
7/19|2570
7/20|2736
7/21|2679
7/22|2748
7/23|2712
7/24|2576
7/25|2651
7/26|2618
7/27|2729
7/28|2593
7/29|2626
7/30|2660
7/31|2618
8/1|2685
8/2|2546
8/3|2720
8/4|2647
8/5|2682
8/6|2617
8/7|2695
8/8|2667
8/9|2621
8/10|2680
8/11|2667
8/12|2633
8/13|2641
8/14|2644
8/15|2672
8/16|2608
8/17|2654
8/18|2683
8/19|2644
8/20|2725
8/21|2584
8/22|2635
8/23|2648
8/24|2572
8/25|2694
8/26|2565
8/27|2607
8/28|2696
8/29|2552
8/30|2611
8/31|2584
9/1|2628
9/2|2496
9/3|2485
9/4|2508
9/5|2531
9/6|2539
9/7|2674
9/8|2589
9/9|2736
9/10|2708
9/11|2582
9/12|2605
9/13|2609
9/14|2724
9/15|2633
9/16|2684
9/17|2680
9/18|2661
9/19|2656
9/20|2641
9/21|2723
9/22|2731
9/23|2678
9/24|2673
9/25|2715
9/26|2722
9/27|2616
9/28|2699
9/29|2604
9/30|2677
10/1|2794
10/2|2691
10/3|2667
10/4|2630
10/5|2685
10/6|2579
10/7|2630
10/8|2564
10/9|2702
10/10|2667
10/11|2541
10/12|2580
10/13|2567
10/14|2651
10/15|2585
10/16|2492
10/17|2448
10/18|2423
10/19|2500
10/20|2564
10/21|2546
10/22|2442
10/23|2429
10/24|2498
10/25|2560
10/26|2498
10/27|2499
10/28|2466
10/29|2473
10/30|2405
10/31|2409
11/1|2516
11/2|2466
11/3|2483
11/4|2469
11/5|2465
11/6|2447
11/7|2519
11/8|2494
11/9|2513
11/10|2517
11/11|2445
11/12|2439
11/13|2375
11/14|2433
11/15|2450
11/16|2451
11/17|2434
11/18|2549
11/19|2490
11/20|2515
11/21|2338
11/22|2399
11/23|2464
11/24|2337
11/25|2358
11/26|2368
11/27|2346
11/28|2394
11/29|2415
11/30|2426
12/1|2587
12/2|2373
12/3|2487
12/4|2423
12/5|2379
12/6|2382
12/7|2375
12/8|2392
12/9|2355
12/10|2506
12/11|2472
12/12|2573
12/13|2429
12/14|2454
12/15|2592
12/16|2495
12/17|2584
12/18|2540
12/19|2506
12/20|2658
12/21|2462
12/22|2370
12/23|2213
12/24|2040
12/25|1971
12/26|2228
12/27|2546
12/28|2651
12/29|2507
12/30|2609
12/31|2679